species,role,gestalt_k,n_included,exemplar_filename,extra_picks
Bolbometopon_muricatum,regular,3,1,Bolbometopon_muricatum_FishWise_046814F000024W000003.jpg,
Calotomus_carolinus,regular,3,1,Calotomus_carolinus_FishBase_Cacar_u8.jpg,
Calotomus_spinidens,regular,4,1,Calotomus_spinidens_FishWise_065875F000024W000008.jpg,
Calotomus_viridescens,regular,6,1,Calotomus_viridescens_iNaturalist_232522337.jpg,
Cetoscarus_bicolor,regular,4,1,Cetoscarus_bicolor_FishWise_008308F000024W000006.jpg,
Cetoscarus_ocellatus,regular,4,1,Cetoscarus_ocellatus_FishBase_Ceoce_m0.jpg,
Chlorurus_bleekeri,regular,5,1,Chlorurus_bleekeri_FishWise_009085F000020W000009.jpg,
Chlorurus_bowersi,regular,5,1,Chlorurus_bowersi_Bishop_-1629001241.jpg,
Chlorurus_capistratoides,regular,5,1,Chlorurus_capistratoides_FishWise_012673F000024W000005.jpg,
Chlorurus_cyanescens,regular,3,1,Chlorurus_cyanescens_FishWise_017710F000172W000001.jpg,
Chlorurus_enneacanthus,regular,4,1,Chlorurus_enneacanthus_FishWise_021443F000024W000002.jpg,
Chlorurus_frontalis,regular,3,1,Chlorurus_frontalis_FishWise_024752F000024W000006.jpg,
Chlorurus_genazonatus,regular,4,1,Chlorurus_genazonatus_FishBase_Chgen_m0.jpg,
Chlorurus_gibbus,regular,4,1,Chlorurus_gibbus_FishBase_Chgib_m1.jpg,
Chlorurus_microrhinos,regular,3,1,Chlorurus_microrhinos_FishBase_Chmic_ub.jpg,
Chlorurus_rhakoura,regular,3,1,Chlorurus_rhakoura_FishBase_Chrha_u1.jpg,
Chlorurus_spilurus,regular,3,1,Chlorurus_spilurus_FishBase_Chsor_u3.jpg,
Cryptotomus_roseus,regular,5,1,Cryptotomus_roseus_FishWise_060757F000024W000002.jpg,
Hipposcarus_harid,regular,5,1,Hipposcarus_harid_FishWise_028777F000024W000010.jpg,
Leptoscarus_vaigiensis,regular,3,1,Leptoscarus_vaigiensis_FishWise_072148F000024W000014.jpg,
Nicholsina_usta,regular,4,1,Nicholsina_usta_FishBase_Niust_u0.jpg,
Scarus_altipinnis,regular,5,2,Scarus_altipinnis_Bishop_1386298346.jpg,Scarus_altipinnis_FishWise_002332F000024W000005.jpg
Scarus_arabicus,regular,4,1,Scarus_arabicus_iNaturalist_565628888.jpg,
Scarus_chameleon,regular,3,1,Scarus_chameleon_FishWise_014072F000024W000013.jpg,
Scarus_coelestinus,regular,5,1,Scarus_coelestinus_Bishop_1003223140.jpg,
Scarus_coeruleus,regular,4,2,Scarus_coeruleus_Bishop_-385580651.jpg,Scarus_coeruleus_Bishop_1047962930.jpg
Scarus_collana,regular,3,2,Scarus_collana_Bishop_-2040750863.jpg,Scarus_collana_FishWise_015722F000024W000001.jpg
Scarus_compressus,regular,3,1,Scarus_compressus_FishBase_Sccom_ui.jpg,
Scarus_dubius,regular,4,1,Scarus_dubius_Bishop_1511255811.jpg,
Scarus_ferrugineus,regular,4,2,Scarus_ferrugineus_Bishop_-559419003.jpg,Scarus_ferrugineus_FishWise_023251F000009W000022.jpg
Scarus_festivus,regular,5,1,Scarus_festivus_FishWise_023289F000024W000009.jpg,
Scarus_flavipectoralis,regular,3,2,Scarus_flavipectoralis_Bishop_1750440183.jpg,Scarus_flavipectoralis_FishPix_182994.jpg
Scarus_forsteni,regular,4,1,Scarus_forsteni_Bishop_611716152.jpg,
Scarus_frenatus,regular,3,2,Scarus_frenatus_FishBase_Scfre_m1.jpg,Scarus_frenatus_FishWise_024678F000009W000013.jpg
