species,m,A,Jc,Jt,m_dS,m_dL
Bolbometopon_muricatum,0.06434999999999999,0.8126760563380282,0.8386755877077371,0.6844174760290317,0.04437425503649883,0.9566166293480475
Cetoscarus_bicolor,0.10243014128728414,0.8191145310583251,0.6759928564994117,0.6546702706163762,0.22269559801284106,0.6861427085446296
Cetoscarus_ocellatus,0.18762964527027026,0.9903374068233944,0.8425472877984705,0.7093412346559139,0.4109500615366832,0.4715440579903639
Chlorurus_bleekeri,0.15326309632133106,0.875179716525014,0.9489122401325217,0.623993059037132,0.1740801328827536,0.6088624046398016
Chlorurus_bowersi,0.07849292905081495,0.7508153336184773,0.6804607513768272,0.7724861362465753,0.1815522328024825,0.7062844837459602
Chlorurus_enneacanthus,0.07026831828679403,0.7689640591966175,0.6608020302476278,0.7728995919184576,0.19498133374913643,0.6918495095330914
Chlorurus_frontalis,0.07788415159345392,0.8122394580727913,0.6969504573483548,0.6884562081953088,0.27284753192473066,0.6841471811345408
Chlorurus_microrhinos,0.1256721568627451,0.9251249519415609,0.8101405422481786,0.6839592210301947,0.08589450044303489,0.5531237574577105
Chlorurus_capistratoides,0.08355846367588401,0.684775536759922,0.6509394082149738,0.7343131424687792,0.20370617546752326,0.7440187849690221
Chlorurus_genazonatus,0.13283626588465297,0.9825440592903828,0.7535950243176126,0.645751705070707,0.12552856556722408,0.6017186165379499
Chlorurus_japanensis,0.09410302861389819,0.7612411322854361,0.7128881788020168,0.7744369215560022,0.14993117478270981,0.6164708003528729
Chlorurus_gibbus,0.07385566417481311,0.7744542691351203,0.7358960628114635,0.8580668551954173,0.23271948581676388,0.9249229443802647
Chlorurus_cyanescens,0.14497785714285716,0.9086079139396676,0.8801156475559618,0.5305592841163311,0.2318726583248267,0.41468154049054434
Chlorurus_rhakoura,0.1008201754385965,0.8419070512820513,0.9646166475120261,0.6049843174091182,0.08395091172090355,0.6627564569778828
Chlorurus_spilurus,0.09585520712349982,0.765300593201004,0.8703144784110969,0.8625056282918964,0.43131911596407446,0.6697972311460214
Scarus_altipinnis,0.11455870308811486,0.9108767277402765,0.702163040339084,0.769067742771614,0.24926508304883505,0.8372661999440663
Scarus_prasiognathos,0.0734878124514827,0.9539112487100102,0.7019457804946841,0.6938602056573733,0.13046727108042705,0.6885948039834846
Scarus_frenatus,0.09154503848554192,0.7184356451109027,0.7250095554900028,0.5958325263606151,0.15075467205435056,0.5369342990826199
Scarus_niger,0.12311149775264608,0.9950657894736842,0.7300118879460334,0.4930728298757859,0.24825715961207154,0.3539756242511224
Scarus_forsteni,0.08881051061007958,0.6221687257751938,0.5998273874389654,0.6807276175697229,0.14816552359356583,0.6821071310175711
Scarus_tricolor,0.0864945511157239,0.6727719791248495,0.6531083516413468,0.688879937081583,0.2755561650886415,0.6632411908795752
Scarus_oviceps,0.09241406288201066,0.8754068428991029,0.8986498336036258,0.754009659831489,0.20660586098532338,0.5244634679657072
Scarus_scaber,0.07582821188176764,0.7640590958605664,0.6030922965657824,0.8130805729125637,0.0882408566432816,0.5740828903327687
Scarus_compressus,0.2649918526031102,0.8625816940659407,0.9948074979944775,0.5998060528639013,0.18442891965875133,0.4862896930265411
Scarus_ghobban,0.06590886075949368,0.6190298507462687,0.6309287620768546,0.7346799958775635,0.06418231248986454,0.6387114119046415
Scarus_ferrugineus,0.07744968145988554,0.820534590237167,0.6757898112298718,0.7825989373448509,0.1770145923171525,0.5009689949600132
Scarus_rubroviolaceus,0.05933936461182411,0.6830170664757133,0.5376863177669705,0.7827684290929199,0.19884315340506892,0.7599487772470523
Scarus_persicus,0.07885416666666667,0.8023809523809523,0.7250381375595395,0.7167403983134902,0.08711460073207238,0.634329847966231
Scarus_zufar,0.08705860155382908,0.8463026776635408,0.6304338586621429,0.8368531554896874,0.09133873489010098,0.8757199016959702
Scarus_xanthopleura,0.060048964907851554,0.8081194121980088,0.5270086311989256,0.6705233013935064,0.09431041800541821,0.6347755121916234
Scarus_koputea,0.1260246456621829,0.9169687731729421,0.7300137214171379,0.7115305703734099,0.15838161288354746,0.6814742634161493
Scarus_obishime,0.04385,0.5577264653641208,0.868568260279187,0.8590634986055125,0.06104876464511715,0.8422798427174805
Scarus_coelestinus,0.11078373930217249,0.9060404584994564,0.6915123072069411,0.5674192667197168,0.3829535008229805,0.6680483449538671
Scarus_coeruleus,0.09422947422947422,0.9213138994507816,0.6401249575538948,0.7740283204227737,0.6482608371710696,0.5019087286509987
Scarus_guacamaia,0.0632,0.7620817843866172,0.8115188550223089,0.5317372412030331,0.35656407660304773,0.2708709357094213
Scarus_trispinosus,0.024882942067398717,0.8611326664703084,0.41132840699156153,0.6612096597860928,0.6613840778381477,0.7701267275852421
Scarus_taeniopterus,0.08371938997821352,0.7933841099163679,0.5247635082222019,0.8284225407340907,0.4155317972470118,0.7514811670645396
Scarus_zelindae,0.0260153823207716,0.665290999970085,0.40059379554710933,0.6649760679465585,0.21686722425342925,0.8175191455613007
Scarus_vetula,0.1194833852544133,0.8609493773249232,0.7040974240256116,0.7482191482409325,0.826840660739656,0.520787754267181
Scarus_iseri,0.0980188679245283,0.9064220183486238,0.6517490149577084,0.9581612537600108,0.674414348900805,0.6482924591167483
Scarus_hoefleri,0.18366666666666664,0.9292717086834733,0.6319873340964384,0.38609417482459607,0.2625573282949895,0.34010713305946844
Scarus_chameleon,0.09611494252873563,0.9178899082568807,0.7141440192834018,0.6723290526109486,0.4756228433666815,0.738474881111485
Scarus_festivus,0.08926425438596491,0.8081245557924661,0.6312174731876526,0.7271765589782119,0.1737630265222663,0.745104139549597
Scarus_globiceps,0.1739,0.9462786793508674,0.9949746852669068,0.7203568291513694,0.09185497181552332,0.07285773375911261
Scarus_rivulatus,0.0891085536923573,0.8515520302867864,0.7218525419508585,0.6970130964776211,0.2725349173860211,0.6333386355278295
Scarus_quoyi,0.08582656053623795,0.8152401205032783,0.7243243423964656,0.6176855672460312,0.17993544132534406,0.5794131519475384
Scarus_spinus,0.08180877742946709,0.734250398724083,0.6893221021346966,0.7095427064745518,0.19011713911617772,0.7082362839021479
Scarus_viridifucatus,0.053675719329877546,0.8440984410489366,0.9279860966584207,0.847328278036882,0.33970781524881016,0.43871114266776834
Scarus_perrico,0.04262051440966842,0.8153648775645966,0.46616009004227404,0.6066789778295901,0.12098492473336855,0.41923553501512967
Scarus_dubius,0.10135385895568962,0.9528940195606862,0.6248461374001624,0.7451401905831289,0.11063628783989404,0.6495695438978555
Scarus_longipinnis,0.08241296744686576,0.9548256585664694,0.6365794466615101,0.591413245076965,0.27698654010772694,0.5951001051206917
Scarus_arabicus,0.17854623279996412,0.8995493777120785,0.7676982801153978,0.7365077009788251,0.08611565868643689,0.35746653570301246
Scarus_collana,0.07320127118644068,0.719297372611465,0.6079385797269413,0.6621695628015557,0.06347656740994,0.7132483073727842
Scarus_flavipectoralis,0.24015000000000003,0.8049605411499438,0.9310645236313944,0.7257340556065567,0.04451078544142437,0.4140592787385271
Scarus_hypselopterus,0.08500371057513914,0.6461986202931878,0.6335028897839771,0.691639927064552,0.13149363632115713,0.6807740676244717
Scarus_fuscopurpureus,0.0822905282331512,0.7927579365079364,0.6307008677948102,0.6796150101416344,0.0948429124225376,0.6880506412041202
Scarus_russelii,0.07448686371100165,0.8188652766639936,0.6063429448722085,0.7448032252179648,0.12998014493457505,0.7446123259798804
Scarus_schlegeli,0.1048537913699204,0.8742399281114273,0.7136200028746309,0.6055271426638161,0.09998748289617707,0.5646078858713707
Scarus_psittacus,0.08624155042394405,0.8509778269766193,0.6708357917561388,0.6210105887817315,0.20493833632396863,0.4753097674508584
Hipposcarus_harid,0.09379116719242903,0.7902095375722542,0.8956620537115038,0.9867509581410534,0.33616382902836,0.4585486679156001
Calotomus_carolinus,0.12268464311463591,0.9408761588437112,0.690712439945589,0.5879996695282516,0.06991451537062503,0.639415960759243
Calotomus_viridescens,0.17040309751076174,0.9031432901337794,0.9232091295756426,0.7494296123103692,0.07913682628399371,0.48885128612345796
Calotomus_spinidens,0.10351392632524709,0.9725884326952711,0.6001622053992709,0.7388609858468995,0.05347184638547929,0.6535085648567522
Leptoscarus_vaigiensis,0.1197017543859649,0.9505431675242995,0.6558972547242269,0.7299670286751629,0.035809782841375745,0.7972979583111544
Nicholsina_usta,0.08463877952755905,0.7008109177215188,0.9915436516206246,0.7475800691831972,0.1579600929549924,0.4314488328838442
Sparisoma_amplum,0.1541107852720756,0.9520173671872421,0.8122003232447178,0.6099832702725548,0.2809782277713644,0.3986718443878451
Sparisoma_viride,0.23215335820895522,0.9703234305873562,0.8982970555134164,0.6837455181746711,0.04575863868390809,0.44117279072017496
Sparisoma_chrysopterum,0.04974341787439614,0.8074584586758998,0.48493637691579644,0.7250893906965595,0.1749224206160982,0.8016345978699383
Sparisoma_radians,0.07088413043478262,0.9415452953996022,0.5174713563331678,0.6833691681260543,0.05626350847893866,0.8122321989936913
Sparisoma_frondosum,0.030288877952755904,1.0224434805467928,0.4270153154456057,0.6112423375455719,0.13469840090288673,0.5541170045891366
Sparisoma_axillare,0.2925628571428571,0.89766398873229,0.9643743584203374,0.7841587712551563,0.07402782628598206,0.45499235923836034
Sparisoma_choati,0.06843642857142858,0.744047619047619,0.6279663458371311,0.5449535753834862,0.4030046830653204,0.671780838270537
Sparisoma_rocha,0.008059795048772758,0.6650346648818921,0.3459370776954908,0.7358490566037736,0.9632225562226026,0.8298341619919898
Sparisoma_aurofrenatum,0.09976186517832403,0.714870882051952,0.8395143432624014,0.8976470917830315,0.2623232656161635,0.8521221910368606
Sparisoma_cretense,0.028066428571428572,0.8562452758881332,0.594740621412508,0.9404813332181359,0.61130093487139,0.3700090614328468
Sparisoma_tuiupiranga,0.15346985507246377,0.8087906231531049,0.8731802692380405,0.3887241257646381,0.263650966499682,0.4754043041092486
